LOG_ID,BDD,USUARIO,IP,PID,FECHA_1,HORA_1,FECHA_Y_HORA,COMANDO,DURACION,RESULTADO,VALOR_HORA,VALOR_DURACION,outlier
5063,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.308,2020-11-25 12:41:44,SELECT,0.533,OK,0.18190429578074452,0.0545045505675427,0
5064,prueba,cesar,192.168.1.62,12610,2020-11-25,12:41:46.340,2020-11-25 12:41:44,idle,0.0,OK,0.1819050767993945,0.0,0
5065,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.881,2020-11-25 12:27:52,,0.0,OK,0.1835291318614044,0.0,0
5066,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.959,2020-11-25 12:42:52,authentication,0.0,OK,0.18353103559436368,0.0,0
5067,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:52.989,2020-11-25 12:42:52,SET,0.262,OK,0.18353176779934788,0.026792105532263015,0
5068,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:53.022,2020-11-25 12:42:52,SELECT,1.843,OK,0.18353257322483063,0.18846507822885777,0
5069,prueba,cesar,192.168.1.62,12627,2020-11-25,12:42:53.055,2020-11-25 12:42:52,SELECT,4.449,OK,0.18353337865031338,0.4549544943245731,1
5070,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.144,2020-11-25 12:43:52,SELECT,1.834,OK,0.1849999608270333,0.1875447387258411,0
5071,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.175,2020-11-25 12:43:52,SELECT,2.348,OK,0.1850007174388505,0.2401063503425708,0
5072,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.207,2020-11-25 12:43:52,SELECT,3.412,OK,0.18500149845750047,0.34891093158809694,1
5073,prueba,cesar,192.168.1.62,12627,2020-11-25,12:43:53.235,2020-11-25 12:43:52,SELECT,1.518,OK,0.1850021818488191,0.15523059617547807,0
5074,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.265,2020-11-25 12:44:52,SELECT,0.391,OK,0.18646732402240318,0.039983638408835266,0
5075,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.294,2020-11-25 12:44:52,SELECT,0.925,OK,0.1864680318205546,0.09459044892115759,0
5076,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.325,2020-11-25 12:44:52,SELECT,0.376,OK,0.1864687884323718,0.03844973923714082,0
5077,prueba,cesar,192.168.1.62,12627,2020-11-25,12:44:53.416,2020-11-25 12:44:52,SELECT,0.52,OK,0.18647100945415762,0.05317517128540751,0
5078,prueba,cesar,192.168.1.62,12627,2020-11-25,12:45:53.446,2020-11-25 12:44:52,SELECT,0.382,OK,0.1879361516277417,0.0390632989058186,0
5079,prueba,cesar,192.168.1.62,12627,2020-11-25,12:45:53.478,2020-11-25 12:45:52,idle,0.0,OK,0.18793693264639166,0.0,0
5080,prueba,karen,192.168.1.62,12636,2020-11-25,12:45:56.437,2020-11-25 12:45:56,,0.0,OK,0.18800915246467642,0.0,0
5081,prueba,karen,192.168.1.79,12636,2020-11-25,12:45:56.506,2020-11-25 12:45:56,authentication,0.0,OK,0.18801083653614026,0.0,0
5082,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.538,2020-11-25 12:46:56,SET,0.216,OK,0.1894760275233901,0.022088148072400043,0
5083,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.570,2020-11-25 12:46:56,SELECT,1.885,OK,0.18947680854203985,0.19275999590960222,0
5084,prueba,karen,192.168.1.79,12636,2020-11-25,12:46:56.601,2020-11-25 12:47:56,SELECT,3.462,OK,0.18947756515385705,0.35402392882707845,1
5085,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.675,2020-11-25 12:47:56,SET,0.09,OK,0.19094378122808486,0.009203395030166683,0
5086,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.706,2020-11-25 12:47:56,SELECT,1.935,OK,0.19094453783990206,0.19787299314858373,0
5087,prueba,karen,192.168.1.79,12636,2020-11-25,12:47:56.736,2020-11-25 12:47:56,SELECT,0.487,OK,0.19094527004488648,0.04980059310767972,0
5088,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.071,2020-11-25 12:48:13,authentication,0.0,OK,0.19136836249164768,0.0,0
5089,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.102,2020-11-25 12:48:13,SET,0.171,OK,0.19136911910346488,0.0174864505573167,0
5090,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.134,2020-11-25 12:48:13,SELECT,1.712,OK,0.19136990012211486,0.17506902546272626,0
5091,prueba,karen,192.168.1.79,10028,2020-11-25,12:48:14.165,2020-11-25 12:48:13,SELECT,2.603,OK,0.19137065673393183,0.26618263626137645,0
5092,prueba,karen,192.168.1.79,10024,2020-11-25,12:49:13.358,2020-11-25 12:49:13,idle,0.0,OK,0.19281537038845398,0.0,0
5093,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.417,2020-11-25 12:49:13,authentication,0.0,OK,0.19281681039158982,0.0,0
5094,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.449,2020-11-25 12:49:13,SET,0.213,OK,0.1928175914102398,0.021781368238061153,0
5095,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.481,2020-11-25 12:49:13,SELECT,2.259,OK,0.19281837242888955,0.23100521525718376,0
5096,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.513,2020-11-25 12:49:13,SELECT,3.893,OK,0.19281915344753975,0.3980979650270989,0
5097,prueba,karen,192.168.1.79,10025,2020-11-25,12:49:13.587,2020-11-25 12:49:13,SELECT,0.879,OK,0.19282095955316747,0.08988649146129461,0
5098,prueba,karen,192.168.1.79,10025,2020-11-25,12:50:13.618,2020-11-25 12:50:13,SELECT,0.957,OK,0.19428612613358454,0.09786276715410573,0
5099,prueba,karen,192.168.1.79,10025,2020-11-25,12:50:13.647,2020-11-25 12:50:13,idle,0.0,OK,0.19428683393173596,0.0,0
5100,prueba,karen,192.168.1.79,10021,2020-11-25,12:50:13.098,2020-11-25 12:50:12,idle,0.0,OK,0.19427343458052337,0.0,0
5101,prueba,karen,192.168.1.79,10024,2020-11-25,12:50:13.158,2020-11-25 12:50:13,authentication,0.0,OK,0.194274898990492,0.0,0
5102,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.188,2020-11-25 12:51:13,SET,0.17,OK,0.19574004116407606,0.01738419061253707,0
5103,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.220,2020-11-25 12:51:13,SELECT,1.681,OK,0.19574082218272604,0.17189896717455774,0
5104,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.252,2020-11-25 12:51:13,SELECT,3.22,OK,0.1957416032013758,0.32927702219040805,1
5105,prueba,karen,192.168.1.79,10024,2020-11-25,12:51:13.327,2020-11-25 12:51:13,SELECT,0.708,OK,0.19574343371383673,0.0724000409039779,0
5106,prueba,karen,192.168.1.79,10028,2020-11-25,12:52:14.302,2020-11-25 12:52:13,SELECT,1.102,OK,0.19723164034442642,0.11269045914715208,0
5107,prueba,karen,192.168.1.79,10028,2020-11-25,12:52:14.332,2020-11-25 12:52:13,idle,0.0,OK,0.19723237254941062,0.0,0
5108,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.474,2020-11-25 12:52:23,authentication,0.0,OK,0.1974554998149597,0.0,0
5109,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.503,2020-11-25 12:52:23,SET,0.186,OK,0.1974562076131111,0.019020349729011145,0
5110,prueba,karen,192.168.1.79,10047,2020-11-25,12:52:23.536,2020-11-25 12:52:23,SELECT,1.688,OK,0.19745701303859386,0.17261478678801515,0
5111,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:23.567,2020-11-25 12:53:23,SELECT,2.789,OK,0.1989221796190107,0.28520298599038757,1
5112,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:23.660,2020-11-25 12:53:23,SELECT,1.726,OK,0.19892444945446208,0.17650066468964107,0
5113,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:25.885,2020-11-25 12:53:23,SELECT,0.454,OK,0.19897875465746429,0.04642601492995194,0
5114,prueba,karen,192.168.1.79,10047,2020-11-25,12:53:25.916,2020-11-25 12:53:23,SELECT,0.585,OK,0.19897951126928148,0.05982206769608344,0
5115,prueba,karen,192.168.1.79,10047,2020-11-25,12:54:25.945,2020-11-25 12:54:23,SELECT,0.533,OK,0.20044462903603277,0.0545045505675427,0
5116,prueba,karen,192.168.1.79,10047,2020-11-25,12:54:25.976,2020-11-25 12:54:23,idle,0.0,OK,0.20044538564784997,0.0,0
5117,prueba,karen,192.168.1.79,10079,2020-11-25,12:54:37.117,2020-11-25 12:54:37,,0.0,OK,0.2007173021721863,0.0,0
5118,prueba,karen,192.168.1.79,10079,2020-11-25,12:54:37.191,2020-11-25 12:54:37,authentication,0.0,OK,0.20071910827781425,0.0,0
5119,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.223,2020-11-25 12:55:37,SET,0.208,OK,0.20218429926506387,0.021270068514163003,0
5120,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.255,2020-11-25 12:55:37,SELECT,2.339,OK,0.20218508028371385,0.23918601083955415,0
5121,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.287,2020-11-25 12:55:37,SELECT,4.376,OK,0.20218586130236382,0.44748951835566014,1
5122,prueba,karen,192.168.1.79,10079,2020-11-25,12:55:37.378,2020-11-25 12:55:37,SELECT,2.125,OK,0.20218808232414942,0.21730238265671337,0
5123,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.442,2020-11-25 12:56:37,SELECT,4.818,OK,0.20365405433004924,0.49268841394825647,1
5124,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.469,2020-11-25 12:56:37,SELECT,1.212,OK,0.2036547133145351,0.12393905307291134,0
5125,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.498,2020-11-25 12:56:37,SELECT,0.298,OK,0.20365542111268653,0.030473463544329685,0
5126,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.529,2020-11-25 12:56:37,SELECT,0.915,OK,0.20365617772450373,0.09356784947336129,0
5127,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.590,2020-11-25 12:56:37,SELECT,0.734,OK,0.20365766654130513,0.07505879946824828,0
5128,prueba,karen,192.168.1.79,10079,2020-11-25,12:56:37.620,2020-11-25 12:56:37,idle,0.0,OK,0.20365839874628933,0.0,0
5129,prueba,karen,192.168.1.79,10082,2020-11-25,12:57:37.640,2020-11-25 12:57:37,,0.0,OK,0.2051232968515454,0.0,0
5130,prueba,karen,192.168.1.79,10082,2020-11-25,12:57:37.727,2020-11-25 12:57:37,authentication,0.0,OK,0.2051254202459999,0.0,0
5131,prueba,karen,192.168.1.79,10082,2020-11-25,12:57:37.758,2020-11-25 12:57:37,SET,0.197,OK,0.20512617685781687,0.020145209121587078,0
5132,prueba,karen,192.168.1.79,10082,2020-11-25,12:57:37.790,2020-11-25 12:57:37,SELECT,1.806,OK,0.20512695787646684,0.18468146027201146,0
5133,prueba,karen,192.168.1.79,10082,2020-11-25,12:58:37.826,2020-11-25 12:58:37,SELECT,6.494,OK,0.20659224649104801,0.664076081398916,1
5134,prueba,karen,192.168.1.79,10083,2020-11-25,12:58:37.939,2020-11-25 12:58:37,,0.0,OK,0.2065950044631556,0.0,0
5135,prueba,karen,192.168.1.79,10082,2020-11-25,12:58:37.944,2020-11-25 12:58:37,idle,0.0,OK,0.20659512649731948,0.0,0
5136,prueba,karen,192.168.1.79,10083,2020-11-25,12:58:38.004,2020-11-25 12:58:37,authentication,0.0,OK,0.2065965909072881,0.0,0
5137,prueba,karen,192.168.1.79,10083,2020-11-25,12:58:38.035,2020-11-25 12:58:37,SET,0.255,OK,0.2065973475191053,0.026076285918805606,0
5138,prueba,karen,192.168.1.79,10083,2020-11-25,12:59:38.069,2020-11-25 12:59:37,SELECT,1.716,OK,0.2080625873200207,0.17547806524184478,0
5139,prueba,karen,192.168.1.79,10083,2020-11-25,12:59:38.100,2020-11-25 12:59:37,SELECT,2.584,OK,0.2080633439318379,0.26423969731056346,0
5140,prueba,karen,192.168.1.79,10083,2020-11-25,12:59:38.252,2020-11-25 12:59:37,idle,0.0,OK,0.2080670537704249,0.0,0
5141,prueba,karen,192.168.1.79,17968,2020-11-25,13:01:20.315,2020-11-25 13:01:19,SELECT,1.69,OK,0.21055808834751166,0.1728193066775744,0
5142,prueba,karen,192.168.1.79,17968,2020-11-25,13:01:20.344,2020-11-25 13:01:19,idle,0.0,OK,0.2105587961456633,0.0,0
5143,prueba,karen,192.168.1.79,17969,2020-11-25,13:02:20.348,2020-11-25 13:02:20,,0.0,OK,0.21202330374159428,0.0,0
5144,prueba,karen,192.168.1.79,17969,2020-11-25,13:02:20.422,2020-11-25 13:02:20,authentication,0.0,OK,0.21202510984722245,0.0,0
5145,prueba,karen,192.168.1.79,17969,2020-11-25,13:03:20.452,2020-11-25 13:03:20,SET,0.201,OK,0.21349025202080651,0.020554248900705598,0
5146,prueba,karen,192.168.1.79,17969,2020-11-25,13:03:20.486,2020-11-25 13:03:20,SELECT,2.087,OK,0.21349108185312204,0.21341650475508747,0
5147,prueba,karen,192.168.1.79,17969,2020-11-25,13:04:20.516,2020-11-25 13:04:20,SELECT,2.648,OK,0.2149562240267061,0.2707843337764598,1
5148,prueba,karen,192.168.1.79,17969,2020-11-25,13:04:20.594,2020-11-25 13:04:20,SELECT,0.992,OK,0.21495812775966538,0.10144186522139279,0
5149,prueba,karen,192.168.1.79,17969,2020-11-25,13:05:20.624,2020-11-25 13:05:20,SELECT,1.184,OK,0.21642326993324945,0.1210757746190817,0
5150,prueba,karen,192.168.1.79,17969,2020-11-25,13:05:20.654,2020-11-25 13:05:20,idle,0.0,OK,0.21642400213823387,0.0,0
5151,prueba,karen,192.168.1.79,17970,2020-11-25,13:06:20.733,2020-11-25 13:06:20,authentication,0.0,OK,0.21789034024662557,0.0,0
5152,prueba,karen,192.168.1.79,17970,2020-11-25,13:06:20.763,2020-11-25 13:06:20,SET,0.233,OK,0.21789107245161,0.02382656713365375,0
5153,prueba,karen,192.168.1.79,17970,2020-11-25,13:07:20.793,2020-11-25 13:07:20,SELECT,2.276,OK,0.21935621462519428,0.23274363431843745,1
5154,prueba,karen,192.168.1.79,17970,2020-11-25,13:07:20.827,2020-11-25 13:07:20,SELECT,4.799,OK,0.2193570444575098,0.4907454749974436,1
5155,prueba,karen,192.168.1.79,17970,2020-11-25,13:08:20.900,2020-11-25 13:08:20,SELECT,1.213,OK,0.22082323612490462,0.12404131301769099,0
